STOCK,DATE,TRADING,DELIVERY,DELIVERY PERCENTAGE
M&M,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
MARICO,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
MARUTI,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
MINDAIND,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
MOTHERSUMI,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
MUTHOOTFIN,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
NAUKRI,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
NESTLEIND,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
PGHH,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
PIDILITIND,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
PIIND,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
POLYCAB,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
PRINCEPIPE,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
RELAXO,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
RELIANCE,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
SBILIFE,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
SBIN,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
SUNPHARMA,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
TATACHEM,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
TATACONSUM,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
TATAELXSI,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
TATAINVEST,01-Apr-2022,ABNOMALLY HIGH TRADING,ABNOMALLY HIGH DELIVERY,NORMAL DELIVERY PERCENTAGE
TATAMOTORS,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
TATAPOWER,01-Apr-2022,HIGH TRADING,HIGH DELIVERY,NORMAL DELIVERY PERCENTAGE
TCS,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
TECHM,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
TITAN,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
TRENT,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
TVSMOTOR,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
ULTRACEMCO,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
VBL,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
VOLTAS,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
WIPRO,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
YESBANK,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
